[I 2024-01-24 00:41:14,451] Trial 21 finished with value: 0.30403903126716614 and parameters: {'embedding_dim': 420, 'lstm_units': 112, 'dropout_rate': 0.25, 'l2_reg': 2.6879883183755106e-06, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:43:06,443] Trial 22 finished with value: 0.30696341395378113 and parameters: {'embedding_dim': 426, 'lstm_units': 112, 'dropout_rate': 0.25, 'l2_reg': 2.4758427084527137e-06, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:45:07,775] Trial 23 finished with value: 0.3231246769428253 and parameters: {'embedding_dim': 405, 'lstm_units': 108, 'dropout_rate': 0.25, 'l2_reg': 1.1166500900387577e-05, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:47:03,070] Trial 24 finished with value: 0.30975478887557983 and parameters: {'embedding_dim': 356, 'lstm_units': 65, 'dropout_rate': 0.25, 'l2_reg': 2.3160201186381015e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:49:08,536] Trial 25 finished with value: 0.3251514732837677 and parameters: {'embedding_dim': 464, 'lstm_units': 160, 'dropout_rate': 0.25, 'l2_reg': 3.0742791945549894e-05, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:50:03,673] Trial 26 finished with value: 0.31741923093795776 and parameters: {'embedding_dim': 420, 'lstm_units': 116, 'dropout_rate': 0.5, 'l2_reg': 1.0502762545257542e-06, 'batch_size': 64, 'patience_for_early_stopping': 9}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:51:19,761] Trial 27 finished with value: 0.31125330924987793 and parameters: {'embedding_dim': 350, 'lstm_units': 73, 'dropout_rate': 0.25, 'l2_reg': 4.331945205052337e-06, 'batch_size': 32, 'patience_for_early_stopping': 8}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:54:09,394] Trial 28 finished with value: 0.3338298797607422 and parameters: {'embedding_dim': 473, 'lstm_units': 95, 'dropout_rate': 0.25, 'l2_reg': 0.0003130659711004383, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:54:42,122] Trial 29 finished with value: 0.33025169372558594 and parameters: {'embedding_dim': 187, 'lstm_units': 148, 'dropout_rate': 0.5, 'l2_reg': 9.562845499299936e-06, 'batch_size': 128, 'patience_for_early_stopping': 9}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:55:38,242] Trial 30 finished with value: 0.328391969203949 and parameters: {'embedding_dim': 368, 'lstm_units': 105, 'dropout_rate': 0.25, 'l2_reg': 0.00014086673525380458, 'batch_size': 64, 'patience_for_early_stopping': 7}. Best is trial 21 with value: 0.30403903126716614.
[I 2024-01-24 00:57:35,270] Trial 31 finished with value: 0.3003239929676056 and parameters: {'embedding_dim': 423, 'lstm_units': 118, 'dropout_rate': 0.25, 'l2_reg': 2.195679639723439e-06, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 00:59:31,602] Trial 32 finished with value: 0.30280041694641113 and parameters: {'embedding_dim': 410, 'lstm_units': 127, 'dropout_rate': 0.25, 'l2_reg': 1.5458990100674625e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:01:23,263] Trial 33 finished with value: 0.31796833872795105 and parameters: {'embedding_dim': 407, 'lstm_units': 137, 'dropout_rate': 0.25, 'l2_reg': 1.5938211196819343e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:03:26,738] Trial 34 finished with value: 0.3129468262195587 and parameters: {'embedding_dim': 318, 'lstm_units': 88, 'dropout_rate': 0.25, 'l2_reg': 4.309352337607218e-06, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:05:23,385] Trial 35 finished with value: 0.32205963134765625 and parameters: {'embedding_dim': 392, 'lstm_units': 118, 'dropout_rate': 0.5, 'l2_reg': 1.5363150766194893e-06, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:07:54,804] Trial 36 finished with value: 0.32339760661125183 and parameters: {'embedding_dim': 430, 'lstm_units': 54, 'dropout_rate': 0.25, 'l2_reg': 1.24576282983575e-05, 'batch_size': 16, 'patience_for_early_stopping': 10}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:09:55,205] Trial 37 finished with value: 0.3105359673500061 and parameters: {'embedding_dim': 316, 'lstm_units': 160, 'dropout_rate': 0.5, 'l2_reg': 3.5727902966041944e-06, 'batch_size': 16, 'patience_for_early_stopping': 11}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:10:34,470] Trial 38 finished with value: 0.310735285282135 and parameters: {'embedding_dim': 253, 'lstm_units': 131, 'dropout_rate': 0.25, 'l2_reg': 1.4930308387109906e-06, 'batch_size': 128, 'patience_for_early_stopping': 10}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:12:39,480] Trial 39 finished with value: 0.3273368775844574 and parameters: {'embedding_dim': 380, 'lstm_units': 100, 'dropout_rate': 0.25, 'l2_reg': 3.207984219567079e-05, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:13:49,447] Trial 40 finished with value: 0.3159230351448059 and parameters: {'embedding_dim': 325, 'lstm_units': 126, 'dropout_rate': 0.5, 'l2_reg': 7.496377553484971e-06, 'batch_size': 32, 'patience_for_early_stopping': 8}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:14:30,693] Trial 41 finished with value: 0.31344684958457947 and parameters: {'embedding_dim': 484, 'lstm_units': 138, 'dropout_rate': 0.25, 'l2_reg': 1.9405860013719805e-06, 'batch_size': 64, 'patience_for_early_stopping': 7}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:14:59,467] Trial 42 finished with value: 0.3244435489177704 and parameters: {'embedding_dim': 411, 'lstm_units': 118, 'dropout_rate': 0.25, 'l2_reg': 3.830630096729474e-06, 'batch_size': 128, 'patience_for_early_stopping': 7}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:16:49,739] Trial 43 finished with value: 0.3569633364677429 and parameters: {'embedding_dim': 439, 'lstm_units': 156, 'dropout_rate': 0.25, 'l2_reg': 0.0032941471581856402, 'batch_size': 16, 'patience_for_early_stopping': 8}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:19:01,856] Trial 44 finished with value: 0.31109046936035156 and parameters: {'embedding_dim': 487, 'lstm_units': 125, 'dropout_rate': 0.25, 'l2_reg': 3.030987516536258e-06, 'batch_size': 16, 'patience_for_early_stopping': 9}. Best is trial 31 with value: 0.3003239929676056.
[I 2024-01-24 01:21:13,905] Trial 45 finished with value: 0.31442227959632874 and parameters: {'embedding_dim': 459, 'lstm_units': 94, 'dropout_rate': 0.25, 'l2_reg': 5.870202119512503e-06, 'batch_size': 16, 'patience_for_early_stopping': 7}. Best is trial 31 with value: 0.3003239929676056.
